_sentence,_receivers,count_receivers,sentence_id,time,time difference,latitude,longitude,altitude,velocity,acceleration,satellites,temperature_external,pressure,humidity,temperature_internal (raw),temperature_internal (corrected),sentence_id,nofix,time,satellites,temperature_external,pressure,humidity,uptime,temperature_internal
"$$SAM,240,14:31:56,51.904018,-2.387952,4028,12,-19.31,593.66,22.15,253.125*C197","G8FJG_azel,G8FJG-V,G6GZH,G8KNN,G7SVI",5,240,14:31:56,0:00:17,51.904018,-2.387952,4028,6.18,-0.76,12,-19.31,593.66,22.15,253.125,-2.875,240,,14:31:56,12,-19.31,593.66,22.15,,253.125
"$$SAM,241,14:32:14,51.90312,-2.384066,4136,12,-19.73,585.5,22.96,252.75*DDA6","JDL,G8FJG_azel,G8KNN,G7SVI,G8FJG-V,G6GZH",6,241,14:32:14,0:00:18,51.90312,-2.384066,4136,6.00,-0.18,12,-19.73,585.5,22.96,252.75,-3.25,241,,14:32:14,12,-19.73,585.5,22.96,,252.75
"$$SAM,242,14:32:32,51.902164,-2.380595,4240,12,-19.09,577.13,22.55,252.125*09D4","JDL,G8FJG_azel,G8KNN,G7SVI,G8FJG-V,G6GZH",6,242,14:32:32,0:00:18,51.902164,-2.380595,4240,5.78,-0.22,12,-19.09,577.13,22.55,252.125,-3.875,242,,14:32:32,12,-19.09,577.13,22.55,,252.125
"$$SAM,243,14:32:49,51.901158,-2.377283,4323,12,-22.15,570.44,21.31,251.375*42CD","G8FJG_azel,G8FJG-V,G6GZH,G8KNN,G7SVI",5,243,14:32:49,0:00:17,51.901158,-2.377283,4323,4.88,-0.90,12,-22.15,570.44,21.31,251.375,-4.625,243,,14:32:49,12,-22.15,570.44,21.31,,251.375
"$$SAM,244,14:33:07,51.900141,-2.373633,4422,12,-20.83,562.54,21.97,251.125*116D","JDL,G8FJG_azel,G8KNN,G7SVI,G8FJG-V,G6GZH",6,244,14:33:07,0:00:18,51.900141,-2.373633,4422,5.50,0.62,12,-20.83,562.54,21.97,251.125,-4.875,244,,14:33:07,12,-20.83,562.54,21.97,,251.125
"$$SAM,245,14:33:24,51.899029,-2.370583,4516,12,-21.14,554.68,21.27,250.625*1787","JDL,G8FJG_azel,G8KNN,G7SVI,G8FJG-V,G6GZH",6,245,14:33:24,0:00:17,51.899029,-2.370583,4516,5.53,0.03,12,-21.14,554.68,21.27,250.625,-5.375,245,,14:33:24,12,-21.14,554.68,21.27,,250.625
"$$SAM,246,14:33:42,51.897985,-2.366465,4615,12,-22.97,547.05,21.85,250.125*E837","JDL,G8FJG_azel,G8KNN,G7SVI,G8FJG-V,G6GZH",6,246,14:33:42,0:00:18,51.897985,-2.366465,4615,5.50,-0.03,12,-22.97,547.05,21.85,250.125,-5.875,246,,14:33:42,12,-22.97,547.05,21.85,,250.125
"$$SAM,247,14:34:00,51.896653,-2.363267,4714,12,-25.16,539.66,22.93,249.25*91A4","JDL,G8FJG_azel,G8KNN,G7SVI,G8FJG-V,G6GZH",6,247,14:34:00,0:00:18,51.896653,-2.363267,4714,5.50,0.00,12,-25.16,539.66,22.93,249.25,-6.75,247,,14:34:00,12,-25.16,539.66,22.93,,249.25
"$$SAM,248,14:34:17,51.89616,-2.360216,4803,12,-25.12,532.61,24.61,248.875*FF73","JDL,G8FJG_azel,G8KNN,G7SVI,G8FJG-V,G6GZH",6,248,14:34:17,0:00:17,51.89616,-2.360216,4803,5.24,-0.26,12,-25.12,532.61,24.61,248.875,-7.125,248,,14:34:17,12,-25.12,532.61,24.61,,248.875
"$$SAM,249,14:34:35,51.895164,-2.35688,4888,12,-22.5,526.18,24.81,248.875*B82B","JDL,G8FJG_azel,trickv,G8KNN,G8FJG-V,G6GZH",6,249,14:34:35,0:00:18,51.895164,-2.35688,4888,4.72,-0.51,12,-22.5,526.18,24.81,248.875,-7.125,249,,14:34:35,12,-22.5,526.18,24.81,,248.875
